日本語,英語,繁体字中国語,繁体字中国語修正
キーワードで検索,Search by Keyword,輸入關鍵詞搜索,
絞り込み,Filter,篩選,
詳細検索,Advanced Search,高級搜索,
以下,Or Less,以下,
以上,Or More,以上,
タグ,Tag,標籤,
カンマ区切りで最大5つまで,Comma separated,最多五個，以逗號分隔,
タグは最大5つまでです。,Tags are limited to 5 maximum.,標籤最多只能有5個。,
除外,Exclude,排除,
除外タグ,Exclude Tags,排除標籤,
除外ジャンル,Exclude Genres,排除類別,
カンマ区切りでタグを除外,Exclude tags with comma separation,逗號分隔排除標籤,
カンマ区切りでジャンルを除外,Exclude genres with comma separation,逗號分隔排除類別,
手動で追加,Add Manually,手動添加,
CSVファイルから追加,Add from CSV File,從CSV文件添加,
Youtubeの再生リストから追加,Add from Youtube Playlist,從YouTube播放列表添加,
セットリストに曲を追加,Add Songs to Setlist,添加歌曲至曲目清單,
既存のセットリスト,Existing Setlists,現有曲目清單,
選択したセットリストに追加,Add to Selected Setlists,添加至所選曲目清單,
新しいセットリストを作成,Create New Setlist,創建新曲目清單,
セットリスト名を入力,Enter Setlist Name,輸入曲目清單名稱,
曲がセットリストに追加されました。,Songs added to setlist.,歌曲已添加至曲目清單。,
曲の追加に失敗しました。,Failed to add songs.,添加歌曲失敗。,
セットリスト名を入力してください。,Please enter a setlist name.,請輸入曲目清單名稱。,
新しいセットリストが作成され、曲が追加されました。,New setlist created and songs added.,已創建新曲目清單並添加歌曲。,
新しいセットリストの作成に失敗しました。,Failed to create new setlist.,創建新曲目清單失敗。,
列の表示設定,Column Display Settings,欄位顯示設定,
完了,Done,完成,
追加日,Added Date,添加日期,
操作,Actions,操作,
まだ曲が登録されていません,No songs registered yet,尚未註冊歌曲,
未登録,Not Registered,未註冊,
未設定,Not Set,未設置,
編集,Edit,編輯,
削除,Delete,刪除,
シンプルな料金プラン,Simple Pricing Plans,簡單定價方案,
あなたのニーズに合わせて選べる2つのプラン,Two plans to choose from based on your needs,根據您的需求選擇兩種方案,
フリープラン,Free Plan,免費方案,
Premiumプラン,Premium Plan,高級方案,
/月,/month,/月,
最大登録曲数{{count}}曲,Max {{count}} songs registration,最多可註冊{{count}}首歌曲,
セトリ自動作成無制限,Unlimited auto setlist creation,無限自動創建曲目清單,
公開リスト{{count}}個,{{count}} public lists,{{count}}個公開清單,
再生リスト作成回数 {{count}}回/月,Playlist creation limit {{count}}/month,播放列表創建次數 {{count}}次/月,
セットリスト数 {{count}}個,{{count}} setlists,曲目清單數量 {{count}}個,
まずはここから！,Start Here!,從這裡開始！,
無料プランの全ての機能,All features of free plan,免費方案的所有功能,
登録曲数無制限,Unlimited songs registration,無限歌曲註冊,
再生リスト作成回数 無制限,Unlimited playlist creation,無限播放列表創建,
セットリスト数 無制限,Unlimited setlists,無限曲目清單,
全ての歌枠ツール利用可能（リクエスト・ルーレット機能含む）,All singing tools available (including request and roulette features),所有歌唱直播工具可用（包括請求和輪盤功能）,
歌枠配信者におすすめ！,Recommended for streamers!,推薦給歌唱直播主！,
すべてのプランは、いつでもキャンセル可能です。,All plans can be cancelled anytime.,所有方案均可隨時取消。,
ご不明な点がございましたら、お気軽にお問い合わせください。,If you have any questions,如有任何疑問，請隨時聯繫我們。,
無料トライアル中,Free Trial in Progress,免費試用中,
現在利用中,Currently Using,當前使用中,
プレミアムプランに移行する,Upgrade to Premium Plan,升級至高級方案,
プレミアムプランに移行する（30日間無料）,Upgrade to Premium Plan (30 days free),升級至高級方案（30天免費）,
プレミアムプランで始める（30日間無料）,Start with Premium Plan (30 days free),使用高級方案開始（30天免費）,
無料で始める,Start for Free,免費開始,
ログインが必要です。,Login required.,需要登錄。,
フリガナはカタカナのみで入力してください。,Furigana must be in katakana only.,拼音備註只能使用片假名。,
曲の追加が無料プランの上限({{count}})を超えています。,Song addition exceeds free plan limit ({{count}}).,添加歌曲超過免費方案限制({{count}})。,
曲を追加しました,Song added,已添加歌曲,
曲を更新しました,Song updated,已更新歌曲,
曲の追加に失敗しました,Failed to add song,添加歌曲失敗,
曲の更新に失敗しました,Failed to update song,更新歌曲失敗,
重複確認,Duplicate Confirmation,重複確認,
{{title}}/{{artist}} は既に存在します。登録しますか？,{{title}}/{{artist}} already exists. Register anyway?,{{title}}/{{artist}} 已存在。是否註冊？,
キャンセル,Cancel,取消,
登録する,Register,註冊,
新規曲登録,New Song Registration,新歌曲註冊,
編集画面,Edit Screen,編輯畫面,
カラオケ音源のYoutube URL,Youtube URL for karaoke source,卡拉OK音源的YouTube URL,
詳細入力,Details Input,詳細輸入,
曲名フリガナ（カタカナのみ）,Song furigana (katakana only),歌曲拼音（僅限片假名）,
タグ (カンマ区切り),Tags (comma separated),標籤（逗號分隔）,
編集完了,Edit Complete,編輯完成,
